Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,7.82363285267706e-10,112097248,Others,-63162.5703125,16522594
CB05,288,7.82363285267706e-10,112097248,HO2 + NO2 = HO2NO2,219725408,16522594
CB05,288,7.82363285267706e-10,112097248,C2O3 + NO2 = PAN,32446370,16522594
CB05,288,7.82363285267706e-10,112097248,CXO3 + NO2 = PANX,29344454,16522594
CB05,288,8.21656909177904e-10,117143744,HO2NO2 = HO2 + NO2,-228580656,17245382
CB05,288,8.21656909177904e-10,117143744,PAN = C2O3 + NO2,-19031700,17245382
CB05,288,8.21656909177904e-10,117143744,PANX = CXO3 + NO2,-17175072,17245382
CB05,288,8.21656909177904e-10,117143744,PAN = UNITY,-6110747.5,17245382
CB05,288,8.21656909177904e-10,117143744,PANX = UNITY,-5397226,17245382
CB05,288,8.21656909177904e-10,117143744,Others,-68115.865234375,17245382
CB05,288,8.21656909177904e-10,117143744,HO2 + NO2 = HO2NO2,229081136,17245382
CB05,288,8.21656909177904e-10,117143744,C2O3 + NO2 = PAN,33842956,17245382
CB05,288,8.21656909177904e-10,117143744,CXO3 + NO2 = PANX,30684906,17245382
CB05,288,8.61681725972119e-10,122237624,HO2NO2 = HO2 + NO2,-237849648,17974744
CB05,288,8.61681725972119e-10,122237624,PAN = C2O3 + NO2,-19823312,17974744
CB05,288,8.61681725972119e-10,122237624,PANX = CXO3 + NO2,-17939036,17974744
CB05,288,8.61681725972119e-10,122237624,PAN = UNITY,-6361099.5,17974744
CB05,288,8.61681725972119e-10,122237624,PANX = UNITY,-5637757,17974744
CB05,288,8.61681725972119e-10,122237624,Others,-73240.62890625,17974744
CB05,288,8.61681725972119e-10,122237624,HO2 + NO2 = HO2NO2,238371536,17974744
CB05,288,8.61681725972119e-10,122237624,C2O3 + NO2 = PAN,35246016,17974744
CB05,288,8.61681725972119e-10,122237624,CXO3 + NO2 = PANX,32041412,17974744
