Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,290,9.87769199767285e-10,118927152,15279485
MCMv3.2,290,1.03801811590643e-09,124246912,15963963
MCMv3.2,290,1.0891432200566e-09,129614536,16653609
MCMv3.2,290,1.14112974625158e-09,135027264,17346894
MCMv3.2,290,1.19398135822735e-09,140482576,18042740
MCMv3.2,290,1.24769605758246e-09,145978288,18740002
MCMv3.2,290,1.30227129080396e-09,151512032,19437552
MCMv3.2,290,1.35770605869112e-09,157082016,20134250
MCMv3.2,290,1.41400058328855e-09,162686240,20828886
MCMv3.2,290,1.47115253312791e-09,168322704,21520434
MCMv3.2,290,1.52916401763292e-09,173990080,22207934
MCMv3.2,290,1.58803648009354e-09,179686752,22890346
MCMv3.2,290,1.64777147482198e-09,185411232,23566948
MCMv3.2,290,1.708371111242e-09,191162160,24236682
MCMv3.2,290,1.76983705468814e-09,196938368,24898920
MCMv3.2,290,1.83217141458414e-09,202738720,25552842
MCMv3.2,290,1.89536275563285e-09,208561744,26197584
MCMv3.2,290,1.95942728709042e-09,214406592,26832728
MCMv3.2,290,2.02436511997917e-09,220272400,27457682
MCMv3.2,290,2.0901771424775e-09,226157616,28071826
MCMv3.2,290,2.15686402071924e-09,232061792,28674686
MCMv3.2,290,2.22442553265978e-09,237983728,29265814
MCMv3.2,290,2.25853424851152e-09,240951232,29557052
MCMv3.2,290,2.98695423950335e-09,301032800,34694108
MCMv3.2,290,3.80330344995627e-09,362035872,38477676
MCMv3.2,290,4.6917296714355e-09,423394112,41016508
MCMv3.2,290,5.63630431216211e-09,484674272,42530900
MCMv3.2,290,6.62083010638526e-09,545542400,43252760
MCMv3.2,290,7.63142615767265e-09,605766080,43387644
MCMv3.2,290,8.6568938684195e-09,665184000,43099900
MCMv3.2,290,9.68840296877715e-09,723686272,42515356
MCMv3.2,290,1.07195026188833e-08,781220800,41730128
MCMv3.2,290,1.1745342476388e-08,837763136,40814760
MCMv3.2,290,1.27623316359404e-08,893305856,39819996
