Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CB05,290.5,1.61527491382429e-09,211530928,29331658
CB05,290.5,1.67027525144192e-09,217451136,30046300
CB05,290.5,1.72615788329722e-09,223392336,30750242
CB05,290.5,1.78293269037511e-09,229353312,31442900
CB05,290.5,1.84060833241517e-09,235333232,32123328
CB05,290.5,1.89919324711241e-09,241331328,32790846
CB05,290.5,1.92882954053175e-09,244336848,33119462
CB05,290.5,2.57613641529986e-09,305186944,38904860
CB05,290.5,3.32809291236913e-09,366962592,43047440
CB05,290.5,4.17458068113774e-09,429088384,45613716
CB05,290.5,5.11027042904288e-09,491122848,46871876
CB05,290.5,6.10525807687168e-09,552727168,47142476
CB05,290.5,7.1393628786609e-09,613664384,46756340
CB05,290.5,8.19665757489929e-09,673770560,45921204
CB05,290.5,9.26483068042216e-09,732935168,44788568
CB05,290.5,1.03350199509578e-08,791106688,43486736
CB05,290.5,1.14007860929632e-08,848259648,42080516
CB05,290.5,1.24575141313699e-08,904389888,40625352
